Date,Day,Family,Rep,Count1,Count2,Count3,Count/mm2,Count/mm3,Volume,TotCount,TotLar,Zoox/Lar,AveVol,Zoox/Vol,Origin
14-Apr,2,30,2,16.6,14,33.8,21.46666667,429.3333333,108.2,46453.86667,10,4645.386667,0.05702637,81460.32558,Offshore
14-Apr,2,30,3,19.4,9.111111111,13.44444444,13.98518519,279.7037037,107.2,29984.23704,10,2998.423704,0.05702637,52579.59964,Offshore
15-Apr,3,30,1,15.4,16.8,29.8,20.66666667,413.3333333,114.4,47285.33333,10,4728.533333,0.084691175,55832.6571,Offshore
15-Apr,3,30,2,5.666666667,6.888888889,5.222222222,5.925925926,118.5185185,106.2,12586.66667,10,1258.666667,0.084691175,14861.8397,Offshore
15-Apr,3,30,3,8.6,11.11111111,10.55555556,10.08888889,201.7777778,113.6,22921.95556,10,2292.195556,0.084691175,27065.34129,Offshore
16-Apr,4,30,1,NA,NA,NA,NA,NA,100,NA,10,NA,0.106047952,NA,Offshore
16-Apr,4,30,2,18.6,21.2,27.2,22.33333333,446.6666667,117.4,52438.66667,10,5243.866667,0.106047952,49448.07106,Offshore
16-Apr,4,30,3,23,20.2,23.2,22.13333333,442.6666667,109.2,48339.2,10,4833.92,0.106047952,45582.39842,Offshore
13-Apr,1,31,1,25.2,27,36.4,29.53333333,590.6666667,112.4,66390.93333,10,6639.093333,0.054499429,121819.5026,Offshore
13-Apr,1,31,2,12.11111111,17.8,20.8,16.9037037,338.0740741,101.8,34415.94074,10,3441.594074,0.054499429,63149.17674,Offshore
13-Apr,1,31,3,16.4,14.4,16.4,15.73333333,314.6666667,119,37445.33333,6,6240.888889,0.054499429,114512.9225,Offshore
15-Apr,3,31,1,27,39.6,58,41.53333333,830.6666667,121.1,100593.7333,10,10059.37333,0.07491431,134278.3953,Offshore
15-Apr,3,31,2,36.4,40.8,37.4,38.2,764,115.5,88242,10,8824.2,0.07491431,117790.5797,Offshore
15-Apr,3,31,3,15.66666667,18.2,18.6,17.48888889,349.7777778,105.2,36796.62222,10,3679.662222,0.07491431,49118.28224,Offshore
16-Apr,4,31,1,NA,NA,NA,NA,NA,100,NA,10,NA,0.076015919,NA,Offshore
16-Apr,4,31,2,29.2,44,49,36.6,732,111.2,81398.4,10,8139.84,0.076015919,107080.7287,Offshore
16-Apr,4,31,3,57.4,55.8,NA,56.6,1132,116.5,131878,10,13187.8,0.076015919,173487.3455,Offshore
17-Apr,5,31,1,41.2,52.8,67.6,53.86666667,1077.333333,168.6,181638.4,10,18163.84,0.084033036,216151.1813,Offshore
17-Apr,5,31,2,15.6,16.6,39.2,23.8,476,114,54264,10,5426.4,0.084033036,64574.60373,Offshore
17-Apr,5,31,3,15.2,13,14.2,14.13333333,282.6666667,149.3,42202.13333,10,4220.213333,0.084033036,50220.88376,Offshore
16-Apr,4,35,1,30.6,46.8,53.2,43.53333333,870.6666667,100,87066.66667,10,8706.666667,0.077656843,112117.1849,Offshore
16-Apr,4,35,2,25.6,26.6,36,29.4,588,118.6,69736.8,10,6973.68,0.077656843,89801.22931,Offshore
16-Apr,4,35,3,42.2,30.6,29,33.93333333,678.6666667,112.8,76553.6,10,7655.36,0.077656843,98579.33528,Offshore
15-Apr,3,39,1,11.2,15.2,16.4,14.26666667,285.3333333,160.8,45881.6,10,4588.16,0.068191294,67283.66234,Offshore
15-Apr,3,39,2,3.888888889,6.333333333,15,8.407407407,168.1481481,115.3,19387.48148,10,1938.748148,0.068191294,28431.02153,Offshore
15-Apr,3,39,3,13.2,7.888888889,6.111111111,9.066666667,181.3333333,105.2,19076.26667,10,1907.626667,0.068191294,27974.63657,Offshore
15-Apr,3,41,1,76,48,51,6.481481481,129.6296296,105,13611.11111,10,1361.111111,0.074125511,18362.24935,Offshore
15-Apr,3,41,2,12.55555556,14.2,13.8,13.37777778,267.5555556,119.9,32079.91111,10,3207.991111,0.074125511,43277.8281,Offshore
15-Apr,3,41,3,7.777777778,6.333333333,7.222222222,7.055555556,141.1111111,112.6,15889.11111,10,1588.911111,0.074125511,21435.41536,Offshore
